problem,test_type,parameter_name,parameter_value,best_compliance,final_compliance,best_step,volume_fraction,volume_violation,time_sec,config,design_stats,error,artifacts,checkpoint
roof_256x256_0.4,hidden_layers,hidden_layers,"[16, 16]",2.843171365869315,2.843171365869315,401,0.399990529044488,-9.470955512014267e-06,3160.5378749850206,"{'kan_layers': [16, 16], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [256, 256], 'min': 9.130233036514085e-15, 'max': 0.9999999999999982, 'mean': 0.399990529044488, 'std': 0.4728976942985842, 'active_mean': 0.399990529044488, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/roof_256x256_0.4/hidden_layers/roof_256x256_0.4/hidden_layers/topologies/roof_256x256_0.4_hidden_layers_16x16_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/roof_256x256_0.4/hidden_layers/roof_256x256_0.4/hidden_layers/topologies/roof_256x256_0.4_hidden_layers_16x16_topology.png'}","{'problem': 'roof_256x256_0.4', 'test_type': 'hidden_layers', 'parameter_value': [16, 16], 'completed_at': '2026-07-07T23:53:33Z'}"
roof_256x256_0.4,hidden_layers,hidden_layers,"[32, 32]",2.9032840971327247,2.9032840971327247,400,0.400001307276877,1.3072768769717413e-06,5920.957548026927,"{'kan_layers': [32, 32], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [256, 256], 'min': 0.0, 'max': 1.0, 'mean': 0.400001307276877, 'std': 0.4771511488512564, 'active_mean': 0.400001307276877, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/roof_256x256_0.4/hidden_layers/roof_256x256_0.4/hidden_layers/topologies/roof_256x256_0.4_hidden_layers_32x32_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/roof_256x256_0.4/hidden_layers/roof_256x256_0.4/hidden_layers/topologies/roof_256x256_0.4_hidden_layers_32x32_topology.png'}","{'problem': 'roof_256x256_0.4', 'test_type': 'hidden_layers', 'parameter_value': [32, 32], 'completed_at': '2026-07-07T23:00:53Z'}"
roof_256x256_0.4,hidden_layers,hidden_layers,"[64, 64]",2.863603951170174,2.863603951170174,400,0.3999533946223145,-4.660537768552686e-05,10044.302571573993,"{'kan_layers': [64, 64], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [256, 256], 'min': 0.0, 'max': 1.0, 'mean': 0.3999533946223145, 'std': 0.47675126970158793, 'active_mean': 0.3999533946223145, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/roof_256x256_0.4/hidden_layers/roof_256x256_0.4/hidden_layers/topologies/roof_256x256_0.4_hidden_layers_64x64_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/roof_256x256_0.4/hidden_layers/roof_256x256_0.4/hidden_layers/topologies/roof_256x256_0.4_hidden_layers_64x64_topology.png'}","{'problem': 'roof_256x256_0.4', 'test_type': 'hidden_layers', 'parameter_value': [64, 64], 'completed_at': '2026-07-08T00:09:36Z'}"
roof_256x256_0.4,hidden_layers,hidden_layers,"[8, 8]",2.8728140482023,2.8728140482023,400,0.4000005463978369,5.463978368647204e-07,2226.4479776939843,"{'kan_layers': [8, 8], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [256, 256], 'min': 0.0, 'max': 0.9999999999999999, 'mean': 0.4000005463978369, 'std': 0.47284731570947663, 'active_mean': 0.4000005463978369, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/roof_256x256_0.4/hidden_layers/roof_256x256_0.4/hidden_layers/topologies/roof_256x256_0.4_hidden_layers_8x8_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/roof_256x256_0.4/hidden_layers/roof_256x256_0.4/hidden_layers/topologies/roof_256x256_0.4_hidden_layers_8x8_topology.png'}","{'problem': 'roof_256x256_0.4', 'test_type': 'hidden_layers', 'parameter_value': [8, 8], 'completed_at': '2026-07-08T00:30:39Z'}"
