problem,test_type,parameter_name,parameter_value,best_compliance,final_compliance,best_step,volume_fraction,volume_violation,time_sec,config,design_stats,error,artifacts,checkpoint
free_suspended_bridge_256x256_0.075,grid,grid,10,32.83962256180807,32.83962256180807,400,0.07502180779558208,2.180779558208501e-05,7786.920979385031,"{'kan_layers': [64, 64], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [256, 256], 'min': 0.0, 'max': 0.9999999999999915, 'mean': 0.07502180779558208, 'std': 0.2491329533771753, 'active_mean': 0.07502180779558208, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/grid/free_suspended_bridge_256x256_0.075/grid/topologies/free_suspended_bridge_256x256_0.075_grid_10_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/grid/free_suspended_bridge_256x256_0.075/grid/topologies/free_suspended_bridge_256x256_0.075_grid_10_topology.png'}","{'problem': 'free_suspended_bridge_256x256_0.075', 'test_type': 'grid', 'parameter_value': 10, 'completed_at': '2026-07-08T05:29:45Z'}"
free_suspended_bridge_256x256_0.075,grid,grid,4,169.35328052904828,169.35328052904828,400,0.07499999999486205,-5.137945624511531e-12,5480.688583337003,"{'kan_layers': [64, 64], 'grid': 4, 'k': 3, 'max_steps': 400}","{'shape': [256, 256], 'min': 0.0, 'max': 1.0, 'mean': 0.07499999999486205, 'std': 0.2603095157852841, 'active_mean': 0.07499999999486205, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/grid/free_suspended_bridge_256x256_0.075/grid/topologies/free_suspended_bridge_256x256_0.075_grid_4_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/grid/free_suspended_bridge_256x256_0.075/grid/topologies/free_suspended_bridge_256x256_0.075_grid_4_topology.png'}","{'problem': 'free_suspended_bridge_256x256_0.075', 'test_type': 'grid', 'parameter_value': 4, 'completed_at': '2026-07-08T10:44:58Z'}"
free_suspended_bridge_256x256_0.075,grid,grid,6,32.25422642549689,32.25422642549689,400,0.07501620606378644,1.6206063786439184e-05,6401.742104773177,"{'kan_layers': [64, 64], 'grid': 6, 'k': 3, 'max_steps': 400}","{'shape': [256, 256], 'min': 0.0, 'max': 1.0, 'mean': 0.07501620606378644, 'std': 0.2486535982830846, 'active_mean': 0.07501620606378644, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/grid/free_suspended_bridge_256x256_0.075/grid/topologies/free_suspended_bridge_256x256_0.075_grid_6_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/grid/free_suspended_bridge_256x256_0.075/grid/topologies/free_suspended_bridge_256x256_0.075_grid_6_topology.png'}","{'problem': 'free_suspended_bridge_256x256_0.075', 'test_type': 'grid', 'parameter_value': 6, 'completed_at': '2026-07-08T09:13:38Z'}"
free_suspended_bridge_256x256_0.075,grid,grid,8,31.047533564776934,31.047533564776934,400,0.07500997897082373,9.978970823734667e-06,7031.004466831917,"{'kan_layers': [64, 64], 'grid': 8, 'k': 3, 'max_steps': 400}","{'shape': [256, 256], 'min': 0.0, 'max': 1.0, 'mean': 0.07500997897082373, 'std': 0.2480680632713552, 'active_mean': 0.07500997897082373, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/grid/free_suspended_bridge_256x256_0.075/grid/topologies/free_suspended_bridge_256x256_0.075_grid_8_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/grid/free_suspended_bridge_256x256_0.075/grid/topologies/free_suspended_bridge_256x256_0.075_grid_8_topology.png'}","{'problem': 'free_suspended_bridge_256x256_0.075', 'test_type': 'grid', 'parameter_value': 8, 'completed_at': '2026-07-08T07:26:56Z'}"
