problem,test_type,parameter_name,parameter_value,best_compliance,final_compliance,best_step,volume_fraction,volume_violation,time_sec,config,design_stats,error,artifacts,checkpoint
free_suspended_bridge_256x256_0.075,k,k,1,35.63261321185258,35.63261321185258,400,0.07501377892399501,1.377892399501146e-05,3086.4854311158415,"{'kan_layers': [64, 64], 'grid': 10, 'k': 1, 'max_steps': 400}","{'shape': [256, 256], 'min': 0.0, 'max': 0.9999999999985028, 'mean': 0.07501377892399501, 'std': 0.24816427773096883, 'active_mean': 0.07501377892399501, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/k/free_suspended_bridge_256x256_0.075/k/topologies/free_suspended_bridge_256x256_0.075_k_1_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/k/free_suspended_bridge_256x256_0.075/k/topologies/free_suspended_bridge_256x256_0.075_k_1_topology.png'}","{'problem': 'free_suspended_bridge_256x256_0.075', 'test_type': 'k', 'parameter_value': 1, 'completed_at': '2026-07-08T15:20:16Z'}"
free_suspended_bridge_256x256_0.075,k,k,2,31.111675278909626,31.111675278909626,400,0.07502429638571159,2.4296385711594648e-05,5300.0018365951255,"{'kan_layers': [64, 64], 'grid': 10, 'k': 2, 'max_steps': 400}","{'shape': [256, 256], 'min': 0.0, 'max': 0.9999999999999999, 'mean': 0.07502429638571159, 'std': 0.24792527413717322, 'active_mean': 0.07502429638571159, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/k/free_suspended_bridge_256x256_0.075/k/topologies/free_suspended_bridge_256x256_0.075_k_2_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/k/free_suspended_bridge_256x256_0.075/k/topologies/free_suspended_bridge_256x256_0.075_k_2_topology.png'}","{'problem': 'free_suspended_bridge_256x256_0.075', 'test_type': 'k', 'parameter_value': 2, 'completed_at': '2026-07-08T14:28:50Z'}"
free_suspended_bridge_256x256_0.075,k,k,3,32.83962256180807,32.83962256180807,400,0.07502180779558208,2.180779558208501e-05,8115.2560986219905,"{'kan_layers': [64, 64], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [256, 256], 'min': 0.0, 'max': 0.9999999999999915, 'mean': 0.07502180779558208, 'std': 0.2491329533771753, 'active_mean': 0.07502180779558208, 'active_count': 65536}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/k/free_suspended_bridge_256x256_0.075/k/topologies/free_suspended_bridge_256x256_0.075_k_3_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/free_suspended_bridge_256x256_0.075/k/free_suspended_bridge_256x256_0.075/k/topologies/free_suspended_bridge_256x256_0.075_k_3_topology.png'}","{'problem': 'free_suspended_bridge_256x256_0.075', 'test_type': 'k', 'parameter_value': 3, 'completed_at': '2026-07-08T13:00:30Z'}"
