problem,test_type,parameter_name,parameter_value,best_compliance,final_compliance,best_step,volume_fraction,volume_violation,time_sec,config,design_stats,error,artifacts,checkpoint
cantilever_beam_two_point_256x192_0.15,grid,grid,10,206.4085537724382,206.4085537724382,400,0.1500086976184127,8.697618412711883e-06,5701.2701809441205,"{'kan_layers': [64, 64], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [192, 256], 'min': 0.0, 'max': 0.9999999999987914, 'mean': 0.1500086976184127, 'std': 0.33812699809249147, 'active_mean': 0.1500086976184127, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/grid/cantilever_beam_two_point_256x192_0.15/grid/topologies/cantilever_beam_two_point_256x192_0.15_grid_10_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/grid/cantilever_beam_two_point_256x192_0.15/grid/topologies/cantilever_beam_two_point_256x192_0.15_grid_10_topology.png'}","{'problem': 'cantilever_beam_two_point_256x192_0.15', 'test_type': 'grid', 'parameter_value': 10, 'completed_at': '2026-07-07T22:58:04Z'}"
cantilever_beam_two_point_256x192_0.15,grid,grid,4,268.97024490181656,268.97024490181656,400,0.15000579874554745,5.798745547458406e-06,3614.3056948150042,"{'kan_layers': [64, 64], 'grid': 4, 'k': 3, 'max_steps': 400}","{'shape': [192, 256], 'min': 0.0, 'max': 1.0, 'mean': 0.15000579874554745, 'std': 0.3448096580449673, 'active_mean': 0.15000579874554745, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/grid/cantilever_beam_two_point_256x192_0.15/grid/topologies/cantilever_beam_two_point_256x192_0.15_grid_4_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/grid/cantilever_beam_two_point_256x192_0.15/grid/topologies/cantilever_beam_two_point_256x192_0.15_grid_4_topology.png'}","{'problem': 'cantilever_beam_two_point_256x192_0.15', 'test_type': 'grid', 'parameter_value': 4, 'completed_at': '2026-07-07T23:58:18Z'}"
cantilever_beam_two_point_256x192_0.15,grid,grid,6,222.93019216407836,222.93019216407836,400,0.15000991648216913,9.916482169136653e-06,4269.9098517159,"{'kan_layers': [64, 64], 'grid': 6, 'k': 3, 'max_steps': 400}","{'shape': [192, 256], 'min': 0.0, 'max': 1.0, 'mean': 0.15000991648216913, 'std': 0.33975047715520706, 'active_mean': 0.15000991648216913, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/grid/cantilever_beam_two_point_256x192_0.15/grid/topologies/cantilever_beam_two_point_256x192_0.15_grid_6_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/grid/cantilever_beam_two_point_256x192_0.15/grid/topologies/cantilever_beam_two_point_256x192_0.15_grid_6_topology.png'}","{'problem': 'cantilever_beam_two_point_256x192_0.15', 'test_type': 'grid', 'parameter_value': 6, 'completed_at': '2026-07-07T23:56:02Z'}"
cantilever_beam_two_point_256x192_0.15,grid,grid,8,216.37166708414964,216.37166708414964,400,0.15000748299942693,7.482999426933201e-06,4909.647362241056,"{'kan_layers': [64, 64], 'grid': 8, 'k': 3, 'max_steps': 400}","{'shape': [192, 256], 'min': 0.0, 'max': 1.0, 'mean': 0.15000748299942693, 'std': 0.3390649855492663, 'active_mean': 0.15000748299942693, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/grid/cantilever_beam_two_point_256x192_0.15/grid/topologies/cantilever_beam_two_point_256x192_0.15_grid_8_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/grid/cantilever_beam_two_point_256x192_0.15/grid/topologies/cantilever_beam_two_point_256x192_0.15_grid_8_topology.png'}","{'problem': 'cantilever_beam_two_point_256x192_0.15', 'test_type': 'grid', 'parameter_value': 8, 'completed_at': '2026-07-07T22:44:52Z'}"
